account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"S812VL","SAN-JOSE-REID",60,10112,8861,1250.939,"8","SAN-JOSE-REID",9141,-280,0.053,0.084,19,11apr2012,11oct2013,1217,633,.1840664,60,-.2299307,468,224,10712,0.026,0.332,35,12jan2009,11jan2012,1217,348,.1216667,60,-.4932118,264,148,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1
"8WZD1Z","CONCORD",60,17141,13830,3310.481,"9","CONCORD",13888,-57,0.032,0.001,18,31oct2011,01apr2013,1498,491,.3436462,60,-.0382549,442,515,15497,0.031,0.247,30,01feb2009,04jul2011,1498,672,.3620793,60,1.097176,524,542,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1
"9IC5HT","MARYSVILLE-BEALE-AFB",61,16210,14730,1480.063,"1","MARYSVILLE-BEALE-AFB",11960,2770,0.039,0.650,14,16nov2011,16dec2012,2439,721,.240667,61,1.135719,572,587,11798,0.021,0.839,30,17feb2009,19jul2011,2439,427,.1495334,61,1.808954,341,365,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1
"SEHDPS1526388264","SANDBERG",61,5455,4584,871.3394,"11b","SANDBERG",3991,592,0.107,0.188,16,10aug2012,12nov2013,1589,674,.2072934,61,.3727318,489,329,4273,0.050,0.375,43,11feb2008,11aug2011,1589,341,.1499892,61,.7438595,270,238,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",61,6954,6077,876.9771,"12b","LOS-ANGELES-DOWNTOWN",5171,906,0.057,0.342,22,29feb2012,26nov2013,1346,502,.2087852,61,.6728747,345,281,5033,0.061,0.390,44,28mar2008,27sep2011,1346,653,.2752667,61,1.426929,426,371,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",61,,,,"13","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526215611","VAN-NUYS",61,,,,"14","VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",61,7868,7680,188.0332,"15","LOS-ANGELES-DOWNTOWN",6137,1543,0.054,0.425,27,27sep2011,26nov2013,1346,603,.2668306,61,1.146288,417,359,6906,0.073,0.085,42,28mar2008,28jul2011,1346,875,.371795,61,.7148699,577,500,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388512","VAN-NUYS",61,9800,8253,1546.732,"16","VAN-NUYS",6733,1520,0.048,0.500,21,07mar2012,04nov2013,2091,599,.1667327,61,.726708,399,349,9210,0.085,0.010,46,05mar2008,04nov2011,2091,1266,.4242251,61,.2820044,830,887,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1
"9264652903","CAMP-PENDLETON",61,3976,3724,251.5657,"17","CAMP-PENDLETON",3598,126,0.070,0.078,15,10jul2012,08sep2013,876,338,.1371206,61,.1442753,260,120,3722,0.033,0.129,40,09feb2009,09may2012,876,160,.1221139,61,.2897622,130,107,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1
"5708455284","CAMP-PENDLETON",61,7233,6321,912.3613,"18b","CAMP-PENDLETON",4313,2008,0.091,0.795,16,07jun2012,08sep2013,876,748,.3112149,61,2.292359,573,273,5190,0.052,0.753,15,08feb2011,06apr2012,876,443,.3707699,61,2.33261,378,325,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1
"9069281964","SAN-DIEGO-MONTGOMER",61,4517,4070,447.1365,"19b","SAN-DIEGO-MONTGOMER",3325,745,0.067,0.673,14,06aug2012,05sep2013,1066,363,.1407964,61,.6989202,271,150,3521,0.027,0.765,39,05feb2009,05apr2012,1066,156,.0851847,61,.934324,121,91,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"E3RCZ8","LIVERMORE",61,4872,5146,-273.0508,"2","LIVERMORE",5501,-355,0.020,0.430,20,13sep2011,11apr2013,1123,135,.085978,61,-.3165566,104,97,4965,0.029,0.025,17,12feb2010,14jun2011,1123,153,.1321287,61,-.0821341,141,148,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1
