account_id,station,basetemp,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
"SGHDPS1526215611","VAN-NUYS",57,607,336,270.3774,"14",128,208,0.138,0.767,19,25jun2012,23dec2013,416,53,.0669578,57,.5006235,46,28,271,336,0.122,0.585,28,26feb2010,24may2012,416,98,.1331265,57,.806685,74,55,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",57,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SEHDPS1526388512","VAN-NUYS",57,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
"9264652903","CAMP-PENDLETON",57,706,614,92.31757,"17",234,380,0.115,0.880,10,08jun2012,11mar2013,673,87,.073619,57,.5651655,71,50,294,413,0.042,0.884,40,09feb2009,09may2012,673,39,.0360374,57,.613584,30,24,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON"
"5708455284","CAMP-PENDLETON",57,572,484,87.99579,"18b",243,241,0.036,0.976,11,08may2012,08mar2013,673,21,.0187953,57,.358154,17,13,310,262,0.055,0.901,15,08feb2011,06apr2012,673,44,.0357128,57,.3894098,32,24,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON"
"9069281964","SAN-DIEGO-MONTGOMER",57,483,340,142.9402,"19b",197,143,0.051,0.966,11,07may2012,07mar2013,302,21,.029545,57,.4724982,17,9,236,247,0.036,0.898,39,05feb2009,05apr2012,302,23,.0451857,57,.8169903,17,14,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
"E3RCZ8","LIVERMORE",57,710,342,367.2607,"2",105,237,0.039,0.955,22,15jul2011,11apr2013,1304,17,.00881,57,.1821223,13,11,204,506,0.084,0.833,17,12feb2010,14jun2011,1304,87,.0448905,57,.3881578,60,59,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1,"LIVERMORE"
"9608731398","SAN-DIEGO-MONTGOMER",57,455,369,85.59882,"20",196,173,0.101,0.928,10,23may2012,22feb2013,302,43,.0563199,57,.5719331,37,17,232,222,0.040,0.878,39,24feb2009,24apr2012,302,23,.0452248,57,.7367433,18,14,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
"NKP4ZU","CONCORD",57,828,609,219.7532,"3",362,247,0.064,0.866,19,05oct2011,04apr2013,999,51,.0235461,57,.2468616,39,24,467,361,0.042,0.845,32,04feb2009,06sep2011,999,45,.0282403,57,.3617404,35,28,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1,"CONCORD"
"OVYM2X","OAKLAND",57,688,479,209.0098,"4",280,199,0.061,0.824,19,21sep2011,21mar2013,926,39,.0241238,57,.2148807,29,22,292,396,0.042,0.888,32,21jan2009,22aug2011,926,40,.0278038,57,.4278128,29,26,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1,"OAKLAND"
